Date,Open,High,Low,Close,Volume
13/09/2021,15211.43,15215.44,15030.85,15105.58,4723.37
10/09/2021,15332.92,15349.47,15111.31,15115.49,4587.15
09/09/2021,15296.06,15352.38,15245.17,15248.25,4031.14
08/09/2021,15360.35,15360.35,15206.61,15286.64,4131.56
07/09/2021,15375.98,15403.44,15343.28,15374.33,4014.25
03/09/2021,15313.41,15375.56,15283.67,15363.52,3706.99
02/09/2021,15358.47,15380.07,15285.35,15331.18,4050.51
01/09/2021,15308.98,15379.5,15302.11,15309.38,4271.69
31/08/2021,15262.88,15278.96,15202.67,15259.24,4188.02
30/08/2021,15165.94,15288.08,15165.12,15265.89,4061.76
27/08/2021,14969.77,15144.48,14966.52,15129.5,4048.61
26/08/2021,15025.17,15059.63,14939.56,14945.81,3630.9
25/08/2021,15039.03,15059.43,15011.58,15041.86,3654.15
24/08/2021,14978.14,15034.89,14965.54,15019.8,3809.75
23/08/2021,14776.98,14963.47,14776.98,14942.65,3906.78
20/08/2021,14571.53,14722.16,14571.53,14714.66,3886.34
19/08/2021,14423.16,14610.76,14423.16,14541.79,4191.49
18/08/2021,14636.24,14697.25,14516.3,14525.91,3841.84
17/08/2021,14670.56,14716.95,14550.88,14656.18,4168.88
16/08/2021,14771.53,14794.68,14610.02,14793.76,3973.92
13/08/2021,14825.07,14850.61,14797.22,14822.9,4061.07
12/08/2021,14751.36,14824.31,14698.94,14816.26,4049
11/08/2021,14834.38,14842.5,14692.41,14765.14,4002.34
10/08/2021,14887.75,14894.61,14754.48,14788.09,3991.77
09/08/2021,14855.76,14883.81,14802.69,14860.18,4111.64
06/08/2021,14864.22,14890.18,14788.59,14835.76,4173.09
05/08/2021,14794.08,14896.47,14776.03,14895.12,4107.3
04/08/2021,14747.21,14812.37,14734.12,14780.53,4337.33
03/08/2021,14713.99,14762.6,14584.09,14761.29,4141.37
02/08/2021,14758.6,14770.41,14665.67,14681.07,3746.13
30/07/2021,14615.85,14728.78,14615.85,14672.68,3645.05
29/07/2021,14771.17,14833.74,14761.38,14778.26,3928.64
28/07/2021,14715.66,14798.88,14645.63,14762.58,4268.21
27/07/2021,14807.95,14811.08,14503.76,14660.58,4329.23
26/07/2021,14821.03,14863.65,14790.49,14840.71,4437.09
